clarity,price,cut_Fair,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_D,color_E,color_F,color_G,color_H,color_I,color_J,carat,depth,table,x,y,z
1.0,326.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.240361288524541,-1.3607384862097478,1.5855287069457737,-1.6413252861036247,-1.6587741878007844,-1.7411749694095262
2.0,326.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.1981678055010725,-3.385018624980267,3.3756625053629343,-1.4986910536190907,-1.4573950183918358,-1.7411749694095262
4.0,327.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0715873564306673,0.4541333623431333,0.24292835813290356,-1.3649714606648393,-1.3173051614116977,-1.2877195504541288
3.0,334.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0293938734071988,1.0823582329960524,0.24292835813290356,-1.240166507240872,-1.212237768676595,-1.1176737683458546
1.0,335.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.1770710639893383,0.7333444159666523,-0.20460509147138653,-1.596752088452208,-1.5537067950656809,-1.5002767780894712
5.0,336.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.1770710639893383,0.38433059893725224,-0.20460509147138653,-1.5878374489219242,-1.5361955629431636,-1.5144472599318273
6.0,336.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1348775809658698,0.10511954531373324,-1.0996719906799668,-1.4808617745585235,-1.4223725541468013,-1.4294243688776906
2.0,337.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.2192645470128067,2.3388079743018904,1.5855287069457737,-1.6591545651641917,-1.7113078841683362,-1.4861062962471148
3.0,337.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.1981678055010725,-1.6399495398332669,1.5855287069457737,-1.5432642512705075,-1.4749062505143535,-1.6278111146706766
4.0,338.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.050490614918933,1.5709775768372143,-1.0996719906799668,-1.3203982630134226,-1.273527081105405,-1.146014732030567
2.0,339.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.1981678055010725,0.7333444159666523,-0.6521385410756766,-1.6056667279824912,-1.6062404914332327,-1.5286177417741837
4.0,340.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.2192645470128067,-0.9419219057744668,1.5855287069457737,-1.6502399256339084,-1.6587741878007844,-1.7128340057248137
2.0,342.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0293938734071988,0.31452783553137625,-1.5472054402842568,-1.2312518677105888,-1.1947265365540773,-1.1743556957152792
1.0,344.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.261458030036275,-1.0815274325862239,2.0330621565500637,-1.730471681406459,-1.7375747323521118,-1.797856896778951
1.0,345.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0082971318954645,-0.5929080887450668,0.24292835813290356,-1.2045079491197386,-1.1509484562477845,-1.2168671412423475
0.0,345.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.050490614918933,0.17492230871961423,-1.5472054402842568,-1.2669104258317225,-1.2209933847378536,-1.2168671412423475
1.0,348.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.050490614918933,1.1521609964019333,-1.5472054402842568,-1.338227542073989,-1.2647714650441464,-1.1885261775576352
2.0,351.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.050490614918933,1.4313720500254523,-0.6521385410756766,-1.338227542073989,-1.2910383132279224,-1.1743556957152792
2.0,351.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.050490614918933,0.6635416525607762,0.6904618077371937,-1.3560568211345563,-1.282282697166664,-1.24520810492706
2.0,351.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.050490614918933,1.0823582329960524,-0.6521385410756766,-1.3114836234831393,-1.256015848982888,-1.1743556957152792
1.0,351.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1981678055010725,1.4313720500254523,-1.0996719906799668,-1.6769838442247584,-1.5887292593107154,-1.5002767780894712
3.0,352.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.1981678055010725,-0.5231053253391859,-0.20460509147138653,-1.596752088452208,-1.5537067950656809,-1.5994701509859643
4.0,353.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0293938734071988,-1.6399495398332669,2.0330621565500637,-1.1955933095894553,-1.142192840186526,-1.3018900322964846
2.0,353.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0293938734071988,-2.547385464109705,2.0330621565500637,-1.1510201119380377,-1.1071703759414915,-1.3444014778235536
2.0,353.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.1981678055010725,-0.9419219057744668,0.24292835813290356,-1.5700081698613575,-1.509928714759388,-1.5994701509859643
5.0,354.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.1770710639893383,0.5239361257490143,-0.20460509147138653,-1.5700081698613575,-1.5712180271881981,-1.5144472599318273
4.0,355.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.050490614918933,0.31452783553137625,-0.20460509147138653,-1.293654344422572,-1.256015848982888,-1.231037623084704
